mPCR_run_ID,,mPCR_run_name,original_run_order,group,Null_group,Total_raw_reads_flagstat,Supplementary Reads,pp + map in way that makes sense (count),pp + map in way that makes sense (percent),Primary reads that mapped (count),Primary reads that mapped (percent),Total_reads_after_MQ0_flagstat,Percent_tot_wMQover0,Total_reads_after_MQ0_flagstat_onAMPonly,Percent_readsONamp_afterMQ0filter,CUSTOM_AMPLICON_SET,GENOME_SIZE,AMPLICON_TERRITORY,TARGET_TERRITORY,TOTAL_READS,PF_READS,PF_BASES,PF_UNIQUE_READS,PCT_PF_READS,PCT_PF_UQ_READS,PF_UQ_READS_ALIGNED,PF_SELECTED_PAIRS,PF_SELECTED_UNIQUE_PAIRS,PCT_PF_UQ_READS_ALIGNED,PF_BASES_ALIGNED,PF_UQ_BASES_ALIGNED,ON_AMPLICON_BASES,NEAR_AMPLICON_BASES,OFF_AMPLICON_BASES,ON_TARGET_BASES,ON_TARGET_FROM_PAIR_BASES,PCT_AMPLIFIED_BASES,PCT_OFF_AMPLICON,ON_AMPLICON_VS_SELECTED,MEAN_AMPLICON_COVERAGE,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,MAX_TARGET_COVERAGE,FOLD_ENRICHMENT,ZERO_CVG_TARGETS_PCT,PCT_EXC_DUPE,PCT_EXC_MAPQ,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_OFF_TARGET,FOLD_80_BASE_PENALTY,PCT_TARGET_BASES_1X,PCT_TARGET_BASES_2X,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,AT_DROPOUT,GC_DROPOUT,HET_SNP_SENSITIVITY,HET_SNP_Q,SAMPLE,LIBRARY,READ_GROUP
22116FL-09-01-294_S300_L004,22116FL-09-01-294_S300_L004_sorted_MQ1.bam,Ext_null_052_074_A,740,Null,extraction,2387169,17525,0,0.00%,2363926,99.76%,96082,0.04024935,28,0.000291418,22116FL-09-01-294_S300_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,95214,95214,14377314,95214,1,1,95214,12,12,1,6925328,6925328,1071,70,6924187,187,151,0.000165,0.999835,0.93865,0.116362,0.072706,0,11,41.042641,0.9375,0,0,0.000149,0,0.999847,,0.03577,0.017107,0.000778,0,0,73.250389,7.192846,0.010037,0,,,
22116FL-09-01-311_S317_L004,22116FL-09-01-311_S317_L004_sorted_MQ1.bam,Ext_null_052_074_B,757,Null,extraction,61891,463,0,0.00%,61228,99.67%,4019,0.064936744,0,0,22116FL-09-01-311_S317_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,3993,3993,602943,3993,1,1,3993,0,0,1,237511,237511,0,0,237511,0,0,0,1,,0,0,0,0,0,1,0,0,0.000152,0,0.999848,,0,0,0,0,0,0,0,0,0,,,
22116FL-09-01-293_S299_L004,22116FL-09-01-293_S299_L004_sorted_MQ1.bam,Ext_null_075_097_A,739,Null,extraction,4124848,18458,0,0.00%,4095986,99.75%,160066,0.038805309,63,0.000393588,22116FL-09-01-293_S299_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,159053,159053,24017003,159053,1,1,159053,20,20,1,10928931,10928931,2123,194,10926614,257,138,0.000212,0.999788,0.916271,0.230661,0.099922,0,39,51.553539,0.923611,0,0,0.000173,0,0.999821,,0.033048,0.019829,0.000778,0.000778,0.000778,67.997924,9.992224,0.013936,0,,,
22116FL-09-01-310_S316_L004,22116FL-09-01-310_S316_L004_sorted_MQ1.bam,Ext_null_075_097_B,756,Null,extraction,4650189,36815,0,0.00%,4599752,99.70%,186730,0.040155357,71,0.000380228,22116FL-09-01-310_S316_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,185399,185399,27995249,185399,1,1,185399,36,36,1,12613621,12613621,2658,188,12610775,383,332,0.000226,0.999774,0.933942,0.288787,0.148911,0,33,55.924406,0.902778,0,0,0.000156,0,0.999838,,0.047823,0.020218,0.003888,0.000778,0.000778,61.641031,10.303266,0.017016,0,,,
22116FL-09-01-385_S391_L004,22116FL-09-01-385_S391_L004_sorted_MQ1.bam,ext_null_pcr1null,829,Null,pcr1,5695278,53010,0,0.00%,5612762,99.48%,980183,0.172104505,46,4.693E-05,22116FL-09-01-385_S391_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,977744,977744,147639344,977744,1,1,977744,23,23,1,46105416,46105416,1610,152,46103654,242,195,0.000038,0.999962,0.913734,0.174924,0.09409,0,27,9.267447,0.9375,0,0,0.000075,0,0.999924,,0.045879,0.013219,0.000778,0.000778,0,68.316132,9.681182,0.012871,0,,,
22116FL-09-01-371_S377_L004,22116FL-09-01-371_S377_L004_sorted_MQ1.bam,extnull_1020_1042_A,815,Null,extraction,1680710,13802,0,0.00%,1663535,99.80%,57864,0.034428307,41,0.000708558,22116FL-09-01-371_S377_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,57432,57432,8672232,57432,1,1,57432,15,15,1,4173947,4173947,1263,150,4172534,130,83,0.000339,0.999661,0.893843,0.137223,0.050544,0,34,80.305002,0.958333,0,0,0.00018,0,0.99981,,0.020995,0.005054,0.000778,0.000778,0.000778,72.856203,10.303266,0.006047,0,,,
22116FL-09-01-381_S387_L004,22116FL-09-01-381_S387_L004_sorted_MQ1.bam,extnull_1020_1042_B,825,Null,extraction,1089462,7904,0,0.00%,1078828,99.75%,36216,0.033242096,21,0.000579854,22116FL-09-01-381_S387_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,35913,35913,5422863,35913,1,1,35913,10,10,1,2632524,2632524,773,55,2631696,114,91,0.000315,0.999685,0.933575,0.083985,0.044323,0,10,77.927964,0.951389,0,0,0.000197,0,0.999796,,0.024495,0.007387,0.000778,0,0,72.317263,10.303266,0.008425,0,,,
22116FL-09-01-372_S378_L004,22116FL-09-01-372_S378_L004_sorted_MQ1.bam,extnull_1043_1065_A,816,Null,extraction,688946,7504,0,0.00%,679006,99.64%,27861,0.040440034,38,0.001363914,22116FL-09-01-372_S378_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,27576,27576,4163976,27576,1,1,27576,18,18,1,2117577,2117577,1096,141,2116340,94,56,0.000584,0.999416,0.886015,0.119079,0.036547,0,34,137.359126,0.979167,0,0,0.000136,0,0.999846,,0.00661,0.005054,0.000778,0.000778,0.000778,82.698289,17.379471,0.003539,0,,,
22116FL-09-01-382_S388_L004,22116FL-09-01-382_S388_L004_sorted_MQ1.bam,extnull_1043_1065_B,826,Null,extraction,2063863,14897,0,0.00%,2044363,99.78%,65296,0.031637759,27,0.000413502,22116FL-09-01-382_S388_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,64848,64848,9792048,64848,1,1,64848,9,9,1,4682154,4682154,950,78,4681126,128,72,0.00022,0.99978,0.924125,0.103216,0.049767,0,18,53.847319,0.951389,0,0,0.000183,0,0.999811,,0.027216,0.003888,0.000778,0,0,69.54583,10.847589,0.007047,0,,,
22116FL-09-01-373_S379_L004,22116FL-09-01-373_S379_L004_sorted_MQ1.bam,extnull_1066_1088_A,817,Null,extraction,1052021,9819,0,0.00%,1039205,99.71%,38336,0.036440337,21,0.000547788,22116FL-09-01-373_S379_L004_sorted_MQ1_TargMetrics.txt:144_FullAmplicon,2442658688,9204,2572,37982,37982,5735282,37982,1,1,37982,2,2,1,2745211,2745211,638,77,2744496,66,34,0.00026,0.99974,0.892308,0.069318,0.025661,0,18,61.67812,0.972222,0,0,0.000173,0,0.999819,,0.012442,0.000778,0.000778,0,0,81.065319,15.435459,0.003694,0,,,
